epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.033,2.45021,31.3928,1.3833,0.44837,0.05181,0.15459,0.07173,2.8284,51.1225,1.52057,0.000550615,0.000550615,0.000550615
2,1084.41,2.72948,24.5623,1.51679,0.28208,0.19127,0.16756,0.07733,3.1189,41.3297,2.08431,0.00106977,0.00106977,0.00106977
3,8131.78,2.668,18.4419,1.50295,0.85051,0.24967,0.27195,0.12882,2.73659,26.6871,1.62434,0.00155226,0.00155226,0.00155226
4,8675.28,2.75225,17.439,1.49082,0.78554,0.07757,0.10785,0.04839,3.79193,30.4305,2.72056,0.00150197,0.00150197,0.00150197
5,9230.1,2.71714,16.3061,1.52551,0.30311,0.36131,0.29641,0.13562,2.89254,25.8472,1.59318,0.00144696,0.00144696,0.00144696
6,9785.9,2.58173,15.0943,1.43868,0.86347,0.26858,0.34745,0.15538,2.84002,15.829,1.46677,0.00139195,0.00139195,0.00139195
7,10330.6,2.57635,14.3418,1.39366,0.39524,0.33324,0.31708,0.14133,2.92674,19.6754,1.56386,0.00133693,0.00133693,0.00133693
8,10975.8,2.43544,13.6821,1.36169,0.37274,0.40222,0.34898,0.14472,2.93859,15.7578,1.5135,0.00128192,0.00128192,0.00128192
9,11667.3,2.48809,14.3374,1.41118,0.44303,0.40548,0.36288,0.18146,2.56399,14.9325,1.4161,0.00122691,0.00122691,0.00122691
10,13141.9,2.43255,13.9077,1.41337,0.46654,0.40927,0.40376,0.20013,2.58774,14.1356,1.45103,0.0011719,0.0011719,0.0011719
11,13767.5,2.45824,13.8223,1.39001,0.4901,0.32089,0.33021,0.1372,2.95677,35.1566,1.52213,0.00111689,0.00111689,0.00111689
12,14407.4,2.3908,13.7743,1.36643,0.45218,0.38225,0.36261,0.15227,2.85343,15.3024,1.44952,0.00106188,0.00106188,0.00106188
13,15046.3,2.33702,13.0515,1.36233,0.46962,0.40046,0.40051,0.17152,2.74888,14.2289,1.41858,0.00100687,0.00100687,0.00100687
14,15650.3,2.32735,13.1511,1.34608,0.6469,0.35227,0.39067,0.19504,2.52481,13.9573,1.37115,0.000951857,0.000951857,0.000951857
15,16166.1,2.27794,12.7989,1.35513,0.51427,0.31237,0.34521,0.15432,2.73602,17.1472,1.42101,0.000896846,0.000896846,0.000896846
16,16668,2.27388,12.6558,1.31712,0.51335,0.42285,0.39787,0.17223,2.61539,17.313,1.39234,0.000841835,0.000841835,0.000841835
17,17197.6,2.26596,12.4529,1.31718,0.42018,0.37565,0.35644,0.15821,2.80821,14.3891,1.42139,0.000786824,0.000786824,0.000786824
18,17742.1,2.23821,12.2578,1.28689,0.61384,0.38923,0.40913,0.1899,2.75331,13.7222,1.40559,0.000731813,0.000731813,0.000731813
19,18254.3,2.35518,12.2102,1.29819,0.51835,0.45246,0.4508,0.20175,2.59315,12.1619,1.35356,0.000676802,0.000676802,0.000676802
20,18786.1,2.22057,12.1198,1.29944,0.65378,0.46402,0.49443,0.24675,2.48072,13.4617,1.30483,0.000621791,0.000621791,0.000621791
21,19305.9,2.24124,11.6238,1.28859,0.56646,0.45057,0.44738,0.19603,2.69431,12.7065,1.34461,0.00056678,0.00056678,0.00056678
22,19828.5,2.19438,11.8272,1.2672,0.68065,0.43858,0.47302,0.2157,2.65073,12.4454,1.31106,0.000511769,0.000511769,0.000511769
23,20350.5,2.18507,11.4669,1.26738,0.63918,0.44207,0.49013,0.21648,2.51686,12.1781,1.30682,0.000456758,0.000456758,0.000456758
24,20877.7,2.16788,11.2708,1.28219,0.57575,0.44464,0.46893,0.23294,2.42627,11.6687,1.312,0.000401747,0.000401747,0.000401747
25,21498.9,2.09075,10.5569,1.24131,0.63571,0.48812,0.49669,0.25056,2.48778,11.9967,1.28946,0.000346736,0.000346736,0.000346736
26,22231.4,2.09989,10.3974,1.23843,0.64478,0.44053,0.48459,0.22152,2.58241,12.0391,1.34085,0.000291725,0.000291725,0.000291725
27,23064.8,2.14866,10.3241,1.2586,0.71357,0.49842,0.53033,0.24437,2.57454,12.1266,1.30179,0.000236714,0.000236714,0.000236714
28,23850.3,2.11576,10.2426,1.23777,0.72118,0.46707,0.52806,0.2545,2.46216,11.2328,1.28637,0.000181703,0.000181703,0.000181703
29,24640.3,2.09772,10.115,1.22349,0.71541,0.46593,0.5221,0.24213,2.5086,11.7711,1.30782,0.000126692,0.000126692,0.000126692
30,25322.1,2.02691,9.65074,1.23953,0.70028,0.48364,0.52507,0.2506,2.44641,11.2743,1.27835,7.1681e-05,7.1681e-05,7.1681e-05
