epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.9922,2.57026,12.3424,1.30853,0.0003,0.14583,9e-05,4e-05,2.38702,7.21265,1.31269,0.0003334,0.0003334,0.0003334
2,193.924,2.43186,6.78433,1.16971,0.00031,0.14583,0.07498,0.05051,2.44396,6.46888,1.12555,0.000660915,0.000660915,0.000660915
3,297.334,2.77246,5.5388,1.26746,0.00054,0.25,0.02998,0.01165,2.77347,6.45787,1.30058,0.000965326,0.000965326,0.000965326
4,402.146,2.53266,4.17591,1.29143,1,0.04137,0.12652,0.0716,2.77295,7.35026,1.44173,0.00124663,0.00124663,0.00124663
5,508.782,2.8054,4.12478,1.2277,0.30579,0.14623,0.14944,0.07926,2.92239,4.98833,1.28432,0.00144696,0.00144696,0.00144696
6,616.091,2.58784,3.67657,1.26447,0.60354,0.2508,0.24266,0.12206,3.00231,4.72394,1.31922,0.00139195,0.00139195,0.00139195
7,723.526,2.59106,3.35761,1.18427,0.43013,0.08407,0.07912,0.04459,2.92525,5.30941,1.26657,0.00133693,0.00133693,0.00133693
8,841.608,2.63902,3.18454,1.18879,0.34087,0.25487,0.22378,0.10951,3.06411,5.3136,1.25738,0.00128192,0.00128192,0.00128192
9,955.883,2.41529,2.95883,1.28739,0.42667,0.23599,0.19454,0.10182,2.79095,4.41754,1.17498,0.00122691,0.00122691,0.00122691
10,1075.75,2.46219,2.79468,1.22055,0.35826,0.25447,0.22039,0.11633,2.66673,3.04945,1.11619,0.0011719,0.0011719,0.0011719
11,1193.95,2.41486,2.50609,1.14398,0.35087,0.33298,0.18895,0.09892,2.65096,3.42016,1.12112,0.00111689,0.00111689,0.00111689
12,1306.9,2.17042,2.52429,1.17327,0.56865,0.32977,0.35214,0.21587,2.65803,2.51211,1.04907,0.00106188,0.00106188,0.00106188
13,1420.97,2.45914,2.20975,1.08982,0.57341,0.31175,0.3362,0.16556,2.60623,2.20334,1.13446,0.00100687,0.00100687,0.00100687
14,1537.99,2.43088,2.27241,1.14721,0.61123,0.25884,0.28952,0.15756,2.59642,2.2863,1.11416,0.000951857,0.000951857,0.000951857
15,1651.98,2.35863,1.94154,1.0806,0.51121,0.32143,0.33992,0.2056,2.5855,2.07623,1.04506,0.000896846,0.000896846,0.000896846
16,1764.75,2.16048,2.04204,1.11147,0.5499,0.34423,0.34403,0.20303,2.51133,2.02,1.07028,0.000841835,0.000841835,0.000841835
17,1879.35,2.195,1.97956,1.12076,0.55984,0.25407,0.28011,0.16006,2.56111,2.07985,1.04823,0.000786824,0.000786824,0.000786824
18,1995.35,2.14026,1.85052,1.08114,0.45595,0.34463,0.33339,0.19389,2.4643,1.88445,1.04839,0.000731813,0.000731813,0.000731813
19,2108.47,2.10678,1.81982,1.11171,0.52656,0.34228,0.35672,0.21315,2.51922,1.83765,1.04881,0.000676802,0.000676802,0.000676802
20,2224.7,2.13041,1.62183,1.04863,0.51485,0.32902,0.33291,0.19546,2.62139,1.93027,1.06137,0.000621791,0.000621791,0.000621791
21,2332.57,2.25178,1.83902,1.05033,0.61734,0.3258,0.37715,0.22377,2.47853,1.88003,1.06498,0.00056678,0.00056678,0.00056678
22,2442.81,2.16882,2.03025,1.09076,0.86063,0.28522,0.37973,0.21171,2.43807,1.87976,1.07527,0.000511769,0.000511769,0.000511769
23,2595.78,2.0793,1.90095,1.03452,0.68987,0.30015,0.36636,0.20583,2.43774,1.80466,1.05103,0.000456758,0.000456758,0.000456758
24,2717.56,2.11786,1.69335,1.05226,0.60001,0.28293,0.3469,0.2254,2.36483,1.79338,1.0615,0.000401747,0.000401747,0.000401747
25,2832.6,2.14867,1.57396,1.00024,0.72677,0.31854,0.3703,0.23184,2.3703,1.81262,1.05106,0.000346736,0.000346736,0.000346736
26,2959.19,2.06981,1.69015,1.09226,0.6943,0.29573,0.35149,0.21443,2.39748,1.82281,1.03634,0.000291725,0.000291725,0.000291725
27,3090.16,2.00101,1.5734,1.01489,0.56789,0.34704,0.37621,0.22262,2.4154,1.77625,1.0249,0.000236714,0.000236714,0.000236714
28,3224.8,1.98968,1.5549,1.00766,0.60519,0.30658,0.37583,0.22341,2.38358,1.69572,1.02451,0.000181703,0.000181703,0.000181703
29,3358.08,2.01228,1.5468,1.01186,0.66951,0.3246,0.38294,0.23231,2.35301,1.66459,1.02022,0.000126692,0.000126692,0.000126692
30,3607.89,2.10396,1.53192,1.00567,0.79076,0.29654,0.39339,0.23875,2.33221,1.62478,1.02304,7.1681e-05,7.1681e-05,7.1681e-05
